EdgeID,SourceAccountId,TargetAccountId,Timestamp,Amount Sent,Sent Currency,Amount Received,Receiving Currency,Payment Format,Is Laundering
748,1354,1354,10,1134.43,8,1134.43,8,5,0
1536,2760,2761,10,2786.09,1,2786.09,1,2,0
1621,2908,2908,10,16.19,0,16.19,0,5,0
2268,4052,4052,10,35296.17,1,35296.17,1,5,0
5069,8887,8887,10,14.14,4,14.14,4,5,0
319,582,582,70,6.688007,10,6.688007,10,6,0
586,1062,1062,70,441.75,1,441.75,1,5,0
1509,2714,2714,70,234011.67,3,234011.67,3,5,0
2321,4144,4144,70,3.99,4,3.99,4,5,0
3017,5355,5355,70,949621.55,8,949621.55,8,5,0
4528,7949,7949,70,26631.85,0,26631.85,0,5,0
4615,8103,8104,70,601479.66,3,601479.66,3,3,0
4745,8327,8327,70,298640.6,3,298640.6,3,5,0
4552,7989,7989,130,416.56,5,416.56,5,5,0
4089,7195,7195,130,63124.8,7,63124.8,7,5,0
2250,4021,4021,130,3460.35,1,3460.35,1,5,0
3296,70,5837,130,22763.89,1,22763.89,1,1,0
1720,3086,3087,130,0.01,6,0.01,6,2,0
873,1580,1580,130,4049.1,11,4049.1,11,5,0
77,143,144,130,2263627.45,1,2263627.45,1,4,0
1779,3196,3196,130,17.15,1,17.15,1,5,0
4684,8222,8223,190,20012732.49,12,20012732.49,12,4,0
4314,7578,7578,190,294539.24,1,294539.24,1,5,0
3495,6177,6177,190,2359.13,5,2359.13,5,5,0
2931,5211,5211,190,15531.53,4,15531.53,4,5,0
2745,4890,4890,190,29.79,2,29.79,2,5,0
2657,4738,4738,190,387.67,5,387.67,5,5,0
2624,4680,4681,190,335401.82,6,335401.82,6,1,0
2132,3813,3813,190,53583.3,1,53583.3,1,5,0
2011,3607,3607,190,2492.91,1,2492.91,1,5,0
1922,3449,3449,190,1685.11,0,1685.11,0,5,0
1427,2571,2571,190,17.65,1,17.65,1,5,0
1270,2292,2292,190,15.08,0,15.08,0,5,0
435,792,793,190,20092.41,1,20092.41,1,4,0
2156,3858,3858,190,1954.21,1,1954.21,1,5,0
3134,5561,5561,250,15.26,6,15.26,6,5,0
2953,5251,5251,250,13.03,6,13.03,6,5,0
0,0,1,250,34254.65,0,34254.65,0,0,1
568,1031,1031,250,636.78,1,636.78,1,5,0
1413,2546,2547,250,3278.04,0,3278.04,0,2,0
141,262,262,250,7.41,0,7.41,0,5,0
4439,7794,7794,310,4399.57,1,4399.57,1,5,0
4276,7513,7513,310,4560.6,0,4560.6,0,5,0
4271,7504,7505,310,7883.97,1,7883.97,1,0,0
4218,7416,7416,310,3.37,0,3.37,0,5,0
4217,7415,7415,310,5758.67,13,5758.67,13,5,0
345,627,627,310,13.94,1,13.94,1,5,0
2044,3661,3662,310,1142.51,1,1142.51,1,1,0
411,749,749,310,509.28,5,509.28,5,5,0
2240,4003,4003,310,59775.43,2,59775.43,2,5,0
1783,3203,3203,310,3839.0,6,3839.0,6,5,0
495,898,899,310,58.68,0,58.68,0,1,0
701,1272,1272,370,5673.43,1,4392.37,4,0,0
769,1391,1391,370,290578.43,13,290578.43,13,5,0
1579,2834,2835,370,3769.0,1,3769.0,1,2,0
1653,2966,2966,370,0.00038,10,0.00038,10,6,0
1830,3286,3286,370,85135.72,1,85135.72,1,5,0
1894,3397,3397,370,14164.94,0,14164.94,0,5,0
2957,5257,5257,370,18.99,1,18.99,1,5,0
3196,5667,5667,370,22.56,1,22.56,1,5,0
5079,8905,8905,370,15864.4,0,15864.4,0,5,0
4350,7638,7639,430,37.4,0,37.4,0,3,0
4310,7571,7572,430,11242.88,0,11242.88,0,2,0
3483,6157,6157,430,17.58,1,17.58,1,5,0
3266,5784,5785,430,38.76,1,38.76,1,3,0
327,595,595,430,295.76,12,295.76,12,5,0
2440,4354,4355,430,3.53,1,3.53,1,3,0
1884,3381,3381,430,1867.86,7,1867.86,7,5,0
547,993,993,430,2.62111,10,2.62111,10,6,0
2468,4407,4407,430,3058.47,9,3058.47,9,5,0
3455,6112,6112,490,851.2,1,851.2,1,5,0
4352,7641,7641,490,267742.02,1,267742.02,1,5,0
831,1507,1507,490,59635.85,0,59635.85,0,5,0
434,791,791,490,18775.47,5,18775.47,5,5,0
